¡	&iexcl;	&#x000A1;	&#161;	INVERTED EXCLAMATION MARK
¢	&cent;	&#x000A2;	&#162;	CENT SIGN
£	&pound;	&#x000A3;	&#163;	POUND SIGN
¤	&curren;	&#x000A4;	&#164;	CURRENCY SIGN
¥	&yen;	&#x000A5;	&#165;	YEN SIGN
¦	&brvbar;	&#x000A6;	&#166;	BROKEN BAR
§	&sect;	&#x000A7;	&#167;	SECTION SIGN
¨	&Dot; &die; &DoubleDot; &uml;	&#x000A8;	&#168;	DIAERESIS
©	&copy; &COPY;	&#x000A9;	&#169;	COPYRIGHT SIGN
ª	&ordf;	&#x000AA;	&#170;	FEMININE ORDINAL INDICATOR
«	&laquo;	&#x000AB;	&#171;	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
¬	&not;	&#x000AC;	&#172;	NOT SIGN
­	&shy;	&#x000AD;	&#173;	SOFT HYPHEN
®	&reg; &circledR; &REG;	&#x000AE;	&#174;	REGISTERED SIGN
¯	&OverBar; &strns;	&#x000AF;	&#175;	MACRON
°	&deg;	&#x000B0;	&#176;	DEGREE SIGN
±	&plusmn; &pm; &PlusMinus;	&#x000B1;	&#177;	PLUS-MINUS SIGN
²	&sup2;	&#x000B2;	&#178;	SUPERSCRIPT TWO
³	&sup3;	&#x000B3;	&#179;	SUPERSCRIPT THREE
´	&DiacriticalAcute;	&#x000B4;	&#180;	ACUTE ACCENT
µ	&micro;	&#x000B5;	&#181;	MICRO SIGN
¶	&para;	&#x000B6;	&#182;	PILCROW SIGN
·	&middot; &centerdot; &CenterDot;	&#x000B7;	&#183;	MIDDLE DOT
¸	&cedil; &Cedilla;	&#x000B8;	&#184;	CEDILLA
¹	&sup1;	&#x000B9;	&#185;	SUPERSCRIPT ONE
º	&ordm;	&#x000BA;	&#186;	MASCULINE ORDINAL INDICATOR
»	&raquo;	&#x000BB;	&#187;	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
